"WEEK_END_DATE","STORE_NUM","UPC","UNITS","VISITS","HHS","SPEND","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","WEEK_END_DATE_2","YEAR","MONTH","DAY_OF_MONTH","ABS_DISCOUNT","REL_DISCOUNT"
"14-01-2009",25233,3800039118,111,97,96,296.37,2.67,2.98,1,0,0,2009-01-14,2009,1,14,-0.31,-0.104026845637584
"21-01-2009",25233,3800039118,25,25,25,66.75,2.67,2.98,1,0,0,2009-01-21,2009,1,21,-0.31,-0.104026845637584
"28-01-2009",25233,3800039118,28,28,27,83.44,2.98,2.98,0,0,0,2009-01-28,2009,1,28,0,0
"04-02-2009",25233,3800039118,25,25,25,74.5,2.98,2.98,0,0,0,2009-02-04,2009,2,4,0,0
"11-02-2009",25233,3800039118,22,22,22,65.56,2.98,2.98,0,0,0,2009-02-11,2009,2,11,0,0
"18-02-2009",25233,3800039118,28,28,27,83.44,2.98,2.98,0,0,0,2009-02-18,2009,2,18,0,0
"25-02-2009",25233,3800039118,14,16,16,41.72,2.98,2.98,0,0,0,2009-02-25,2009,2,25,0,0
"04-03-2009",25233,3800039118,12,12,12,35.76,2.98,2.98,0,0,0,2009-03-04,2009,3,4,0,0
"11-03-2009",25233,3800039118,34,34,33,100.3,2.95,2.95,0,0,0,2009-03-11,2009,3,11,0,0
"18-03-2009",25233,3800039118,245,218,209,612.5,2.5,2.95,1,1,0,2009-03-18,2009,3,18,-0.45,-0.152542372881356
"25-03-2009",25233,3800039118,166,150,143,415,2.5,2.95,1,1,0,2009-03-25,2009,3,25,-0.45,-0.152542372881356
"01-04-2009",25233,3800039118,70,70,70,175,2.5,2.95,0,1,0,2009-04-01,2009,4,1,-0.45,-0.152542372881356
"08-04-2009",25233,3800039118,13,12,11,38.74,2.98,2.95,0,1,0,2009-04-08,2009,4,8,0.0299999999999998,0.0101694915254237
"15-04-2009",25233,3800039118,15,15,15,44.7,2.98,2.98,0,0,0,2009-04-15,2009,4,15,0,0
"22-04-2009",25233,3800039118,13,13,13,38.74,2.98,2.98,0,0,0,2009-04-22,2009,4,22,0,0
