"WEEK_END_DATE","STORE_NUM","UPC","UNITS","VISITS","HHS","SPEND","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","WEEK_END_DATE_2","YEAR","MONTH","DAY_OF_MONTH","ABS_DISCOUNT","REL_DISCOUNT"
"14-01-2009",389,7027312504,29,17,17,49.3,1.7,2.25,0,0,1,2009-01-14,2009,1,14,-0.55,-0.244444444444444
"21-01-2009",389,7027312504,29,19,19,55.97,1.93,2.25,0,0,1,2009-01-21,2009,1,21,-0.32,-0.142222222222222
"28-01-2009",389,7027312504,33,21,21,52.8,1.6,2.25,0,0,1,2009-01-28,2009,1,28,-0.65,-0.288888888888889
"04-02-2009",389,7027312504,50,38,38,89,1.78,2.25,0,0,1,2009-02-04,2009,2,4,-0.47,-0.208888888888889
"11-02-2009",389,7027312504,41,27,26,78.31,1.91,2.25,0,0,1,2009-02-11,2009,2,11,-0.34,-0.151111111111111
"18-02-2009",389,7027312504,49,28,28,85.75,1.75,1.75,0,0,0,2009-02-18,2009,2,18,0,0
"25-02-2009",389,7027312504,42,25,25,72.24,1.72,1.72,0,0,0,2009-02-25,2009,2,25,0,0
"04-03-2009",389,7027312504,40,25,24,66,1.65,1.65,0,0,0,2009-03-04,2009,3,4,0,0
"11-03-2009",389,7027312504,50,32,32,95.5,1.91,1.91,0,0,0,2009-03-11,2009,3,11,0,0
"18-03-2009",389,7027312504,49,30,30,82.32,1.68,1.91,0,0,1,2009-03-18,2009,3,18,-0.23,-0.120418848167539
"25-03-2009",389,7027312504,48,29,29,82.08,1.71,1.91,0,0,1,2009-03-25,2009,3,25,-0.2,-0.104712041884817
"01-04-2009",389,7027312504,33,20,20,55.77,1.69,1.91,0,0,1,2009-04-01,2009,4,1,-0.22,-0.115183246073298
"08-04-2009",389,7027312504,49,32,32,92.12,1.88,1.88,0,0,0,2009-04-08,2009,4,8,0,0
"15-04-2009",389,7027312504,29,19,19,55.97,1.93,1.93,0,0,0,2009-04-15,2009,4,15,0,0
"22-04-2009",389,7027312504,40,24,24,59.2,1.48,1.93,0,0,1,2009-04-22,2009,4,22,-0.45,-0.233160621761658
"29-04-2009",389,7027312504,47,28,28,88.83,1.89,1.89,0,0,0,2009-04-29,2009,4,29,0,0
"06-05-2009",389,7027312504,49,28,28,78.89,1.61,1.89,0,0,1,2009-05-06,2009,5,6,-0.28,-0.148148148148148
"13-05-2009",389,7027312504,41,25,25,72.57,1.77,1.77,0,0,0,2009-05-13,2009,5,13,0,0
"20-05-2009",389,7027312504,58,36,34,98.6,1.7,1.7,0,0,0,2009-05-20,2009,5,20,0,0
"27-05-2009",389,7027312504,44,31,31,85.36,1.94,1.94,0,0,0,2009-05-27,2009,5,27,0,0
"03-06-2009",389,7027312504,28,15,15,46.2,1.65,1.94,0,0,1,2009-06-03,2009,6,3,-0.29,-0.149484536082474
"10-06-2009",389,7027312504,45,27,27,72.45,1.61,1.94,0,0,1,2009-06-10,2009,6,10,-0.33,-0.170103092783505
"17-06-2009",389,7027312504,49,31,31,88.69,1.81,1.81,0,0,0,2009-06-17,2009,6,17,0,0
"24-06-2009",389,7027312504,45,28,27,69.3,1.54,1.81,0,0,1,2009-06-24,2009,6,24,-0.27,-0.149171270718232
"01-07-2009",389,7027312504,38,25,25,75.62,1.99,1.99,0,0,0,2009-07-01,2009,7,1,0,0
"08-07-2009",389,7027312504,50,33,32,78.5,1.57,1.99,0,0,1,2009-07-08,2009,7,8,-0.42,-0.21105527638191
"15-07-2009",389,7027312504,49,30,29,92.12,1.88,1.88,0,0,0,2009-07-15,2009,7,15,0,0
"22-07-2009",389,7027312504,51,34,34,92.31,1.81,1.81,0,0,0,2009-07-22,2009,7,22,0,0
"29-07-2009",389,7027312504,58,33,33,92.22,1.59,1.81,0,0,1,2009-07-29,2009,7,29,-0.22,-0.121546961325967
"05-08-2009",389,7027312504,48,29,27,72.48,1.51,1.81,0,0,1,2009-08-05,2009,8,5,-0.3,-0.165745856353591
