"YEAR","MONTH","TOT_UNITS","AVG_PRICE","AVG_BASE_PRICE","AVG_ABS_DISCOUNT","AVG_REL_DISCOUNT","TOT_FEATURE","TOT_DISPLAY","TOT_TPR_ONLY"
2009,1,555,1.38,1.24,0.14,0.112903225806452,0,3,0
2009,2,736,1.46,1.24,0.22,0.17741935483871,0,4,0
2009,3,752,1.48,1.24,0.24,0.193548387096774,0,4,0
2009,4,855,1.486,1.386,0.1,0.0806451612903226,0,2,0
2009,5,580,1.4875,1.4875,0,0,0,0,0
2009,6,558,1.58,1.58,0,0,0,0,0
2009,7,702,1.414,1.678,-0.264,-0.157142857142857,0,0,3
2009,8,635,1.425,1.68,-0.255,-0.151785714285714,0,2,2
2009,9,949,1.474,1.68,-0.206,-0.122619047619048,0,5,0
2009,10,709,1.465,1.68,-0.215,-0.12797619047619,0,4,0
2009,11,583,1.4725,1.575,-0.1025,-0.0610119047619048,0,1,1
2009,12,1010,1.288,1.48,-0.192,-0.12972972972973,0,4,0
2010,1,617,1.2475,1.48,-0.2325,-0.157094594594595,2,2,1
2010,2,555,1.43,1.485,-0.055,-0.0371621621621622,0,3,0
2010,3,523,1.466,1.464,0.002,0.00136986301369863,0,1,0
2010,4,502,1.48,1.46,0.02,0.0136986301369863,0,4,0
2010,5,637,1.48,1.46,0.02,0.0136986301369863,0,4,0
2010,6,718,1.494,1.484,0.01,0.00682173393398916,0,2,0
2010,7,552,1.4925,1.49,0.0025,0.00167785234899329,0,4,0
2010,8,544,1.4825,1.49,-0.00750000000000001,-0.00503355704697987,0,4,0
2010,9,730,1.48,1.478,0.002,0.00139706889467196,0,4,0
2010,10,530,1.4775,1.4775,0,0,0,0,0
2010,11,504,1.4825,1.4825,0,0,0,0,0
2010,12,754,1.528,1.528,0,0,0,0,0
2011,1,590,1.52,1.51,0.01,0.0066225165562914,0,3,0
2011,2,576,1.5175,1.515,0.0025,0.00165562913907285,0,2,0
2011,3,578,1.522,1.522,0,0,0,0,0
2011,4,461,1.54,1.54,0,0,0,0,0
2011,5,460,1.5375,1.5375,0,0,0,0,0
2011,6,777,1.542,1.54,0.002,0.0012987012987013,0,5,0
2011,7,532,1.54,1.54,0,0,0,3,0
2011,8,595,1.554,1.54,0.014,0.0090909090909091,0,5,0
2011,9,590,1.535,1.5325,0.0025,0.00163398692810458,0,3,0
2011,10,471,1.58,1.53,0.05,0.0326797385620915,0,4,0
2011,11,707,1.62,1.53,0.0900000000000001,0.0588235294117648,0,5,0
2011,12,650,1.6225,1.625,-0.00249999999999995,-0.00153374233128831,0,1,0
2012,1,135,1.62,1.63,-0.00999999999999979,-0.00613496932515324,0,1,0
