"YEAR","MONTH","TOT_UNITS","AVG_PRICE","AVG_BASE_PRICE","AVG_ABS_DISCOUNT","AVG_REL_DISCOUNT","TOT_FEATURE","TOT_DISPLAY","TOT_TPR_ONLY"
2009,1,17,6.09,6.29,-0.2,-0.0317965023847377,2,2,0
2009,2,30,6.3625,6.3625,0,0,0,0,0
2009,3,20,6.105,6.105,0,0,0,0,0
2009,4,34,6.252,6.382,-0.13,-0.0214168039538715,2,2,0
2009,5,38,6.21,6.59,-0.38,-0.0576631259484067,1,0,0
2009,6,23,6.09,6.49,-0.4,-0.0606980273141123,0,0,1
2009,7,34,6.04,6.59,-0.55,-0.0834597875569044,0,0,2
2009,8,21,6.59,6.59,0,0,0,0,0
2009,9,58,5.758,6.59,-0.832,-0.126251896813354,2,1,0
2009,10,43,5.53,6.59,-1.06,-0.160849772382398,0,0,2
2009,11,43,6.0975,6.59,-0.4925,-0.0747344461305008,1,0,1
2009,12,23,6.37,6.59,-0.22,-0.0333839150227618,1,0,0
2010,1,55,6.21,6.59,-0.38,-0.0576631259484067,0,0,1
2010,2,17,6.59,6.59,0,0,0,0,0
2010,3,75,4.86,6.59,-1.73,-0.262518968133536,3,0,1
2010,4,16,6.59,6.59,0,0,0,0,0
2010,5,19,6.59,6.59,0,0,0,0,0
2010,6,51,6.002,6.59,-0.588,-0.089226100151745,2,2,0
2010,7,31,6.135,6.59,-0.455,-0.0690440060698027,1,1,0
2010,8,57,5.8075,6.59,-0.7825,-0.118740515933232,2,2,0
2010,9,28,4.928,6.59,-1.662,-0.252200303490137,1,0,4
2010,10,64,5.215,6.59,-1.375,-0.208649468892261,2,0,1
2010,11,31,6.3175,6.59,-0.2725,-0.041350531107739,1,0,0
2010,12,46,6.352,6.59,-0.238,-0.0361153262518968,1,2,0
2011,1,26,6.59,6.59,0,0,0,0,0
2011,2,77,5.8675,6.59,-0.7225,-0.109635811836115,1,2,0
2011,3,94,5.148,6.59,-1.442,-0.218816388467375,4,3,0
2011,4,27,6.2475,6.615,-0.3675,-0.0557663125948407,1,0,0
2011,5,50,5.61,6.765,-1.155,-0.171033195303918,1,2,1
2011,6,69,5.27,6.79,-1.52,-0.223858615611193,2,1,3
2011,7,86,5.245,6.79,-1.545,-0.227540500736377,2,2,2
2011,8,51,5.49,5.49,0,0,2,2,0
2011,9,106,5.4175,5.49,-0.0725000000000002,-0.0132058287795993,2,1,0
2011,10,56,5.28,5.28,0,0,0,0,0
2011,11,83,5.264,5.252,0.0119999999999997,0.00229007633587781,2,0,0
2011,12,37,5.27,5.27,0,0,0,2,0
2012,1,11,5,5.27,-0.27,-0.0512333965844401,1,0,0
